REMITOS,CANTIDAD
1000025719,194
1000025720,1452
1000025721,110
1000025722,213
1000025723,111
1000025724,128
1000025725,258
1000025726,80
1000025727,10
1000025728,90
1000025729,545
1000025730,224
1000025731,110
1000025732,32
1000025733,7
1000025734,402
1000025735,300
1000025736,451
1000025738,53
1000025739,123
1000025740,75
1000025741,40
1000025742,375
1000025743,172
1000025745,307
1000025746,95
1000025747,102
1000025748,27
1000025749,648
1000025750,320
1000025751,94
1000025752,306
1000025753,290
1000025754,62
1000025755,176
1000025756,32
1000025757,222
1000025758,140
1000025759,279
1000025760,631
1000025761,607
1000025762,262
1000025763,345
1000025764,5
1000025765,987
1000025766,594
1000025767,126
1000025768,14
1000025769,406
1000025770,119
1000025771,708
1000025773,410
1000025774,855
1000025775,349
1000025776,371
1000025777,253
1000025778,188
1000025779,671
1000025780,500
1000025781,20
1000025782,220
1000025783,240
1000025784,198
1000025785,393
1000025786,155
1000025787,623
1000025788,102
1000025789,80
1000025790,419
1000025791,401
1000025792,310
1000025793,152
1000025794,133
1000025795,32
1000025796,172
1000025797,167
1000025798,231
1000025799,225
1000025800,198
1000025801,619
1000025802,338
1000025803,195
1000025804,170
1000025805,62
1000025806,100
1000025807,142
1000025808,240
1000025809,280
1000025810,173
1000025811,108
1000025812,2
1000025813,90
1000025814,111
1000025815,130
1000025816,138
1000025817,108
1000025818,57
1000025819,92
1000025820,110
1000025821,40
1000025822,20
1000025823,89
1000025824,120
1000025825,71
1000025826,85
1000025827,30
1000025828,40
1000025829,100
1000025830,75
1000025831,45
1000025832,160
1000025833,52
1000025834,159
1000025835,77
1000025836,131
1000025837,43
1000025838,87
1000025839,12
1000025840,12
1000025841,150
1000025842,45
1000025843,70
1000025844,110
1000025846,1020
1000025847,24
1000025849,241
1000025850,2068
1000025851,47
1000025852,705
1000025853,215
1000025854,76
1000025855,312
1000025856,526
1000025857,689
1000025858,123
1000025859,389
1000025860,41
1000025861,1870
1000025862,320
1000025863,167
1000025864,174
1000025865,40
1000025866,244
1000025867,204
1000025868,145
1000025869,170
1000025870,514
1000025871,209
1000025872,251
1000025873,79
1000025874,122
1000025875,504
1000025876,112
1000025877,132
1000025878,76
1000025879,218
1000025880,162
1000025881,221
1000025882,155
1000025883,262
1000025884,150
1000025885,60
1000025886,39
1000025887,62
1000025888,40
1000025889,134
1000025890,116
1000025891,595
1000025892,473
1000025893,508
1000025894,428
1000025895,408
1000025896,51
1000025897,541
1000025898,243
1000025899,279
1000025900,234
1000025901,87
1000025902,91
1000025903,99
1000025904,184
1000025905,76
1000025906,24
1000025907,10
1000025908,160
1000025909,181
1000025910,40
1000025911,70
1000025912,80
1000025913,19
1000025914,41
1000025915,30
1000025916,70
1000025917,880
1000025918,1008
1000025919,300
1000025920,60
